"DESKTOP-VQ7MEB2","\Microsoft\Office\IMESharePointDictionary","N/A","準備完了","対話型/バックグラウンド","2025/07/25 16:22:11","0","N/A",""c:\Program Files\Common Files\Microsoft Shared\IME16\IMESharePointDictionary.exe" -updateall","N/A","This task updates SharePoint dictionary of Microsoft IME.","有効"," 分アイドルだった場合にのみ開始,  分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリで開始しない","Users","無効","無効","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Actions Server","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe availabilitycheck","N/A","This task ensures that the Windows Actions availability states are uptodate.","無効","無効","","Users","無効","無効","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Actions Server","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe availabilitycheck","N/A","This task ensures that the Windows Actions availability states are uptodate.","無効","無効","","Users","無効","無効","スケジュール データをこの形式で使用することはできません。","一度だけ, 毎時 ","0:00:00","2025/01/01","N/A","N/A","N/A","1 時間、0 分","なし","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Automatic Updates 2.0","2025/07/26 6:37:41","準備完了","対話型/バックグラウンド","2025/07/25 21:24:40","0","Microsoft Office","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe /frequentupdate SCHEDULEDTASK displaylevel=False","N/A","This task ensures that your Microsoft Office installation can check for updates.","有効","無効","","SYSTEM","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","毎週","3:00:00","2010/12/16","N/A","すべての曜日","1 週ごと","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Automatic Updates 2.0","2025/07/26 6:08:15","準備完了","対話型/バックグラウンド","2025/07/25 21:24:40","0","Microsoft Office","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe /frequentupdate SCHEDULEDTASK displaylevel=False","N/A","This task ensures that your Microsoft Office installation can check for updates.","有効","無効","","SYSTEM","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Automatic Updates 2.0","2025/07/26 4:33:41","準備完了","対話型/バックグラウンド","2025/07/25 21:24:40","0","Microsoft Office","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe /frequentupdate SCHEDULEDTASK displaylevel=False","N/A","This task ensures that your Microsoft Office installation can check for updates.","有効","無効","","SYSTEM","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","アイドル時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Background Push Maintenance","2025/07/26 3:42:22","準備完了","対話型/バックグラウンド","2025/07/25 8:14:23","0","Microsoft Office","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonx64\Microsoft Shared\Office16\opushutil.exe /pushregistration","N/A","Task is used to periodically update device configuration with Microsoft to ensure the latest apps and features are available on this device","有効","無効","バッテリ モードで停止","INTERACTIVE","無効","04:00:00","スケジュール データをこの形式で使用することはできません。","毎日 ","3:42:22","2010/01/01","N/A","1 日ごと","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Background Push Maintenance","2025/07/26 3:42:22","準備完了","対話型/バックグラウンド","2025/07/25 8:14:23","0","Microsoft Office","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonx64\Microsoft Shared\Office16\opushutil.exe /pushregistration","N/A","Task is used to periodically update device configuration with Microsoft to ensure the latest apps and features are available on this device","有効","無効","バッテリ モードで停止","INTERACTIVE","無効","04:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office ClickToRun Service Monitor","2025/07/26 5:43:18","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Office","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe /WatchService","N/A","This task monitors the state of your Microsoft Office ClickToRunSvc and sends crash and error logs to Microsoft.","有効","無効","","SYSTEM","無効","00:30:00","スケジュール データをこの形式で使用することはできません。","毎日 ","4:00:00","2010/12/16","N/A","1 日ごと","N/A","24 時間、0 分","なし","24 時間、0 分","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Feature Updates","2025/07/26 2:01:10","準備完了","対話型/バックグラウンド","2025/07/25 20:41:41","0","Microsoft Office","C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe ","N/A","This task ensures that your Microsoft Office installation can check for feature updates.","有効","無効","バッテリ モードで停止, バッテリで開始しない","Users","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","毎日 ","2:10:00","2017/01/01","N/A","1 日ごと","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Feature Updates","2025/07/25 23:09:55","準備完了","対話型/バックグラウンド","2025/07/25 20:41:41","0","Microsoft Office","C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe ","N/A","This task ensures that your Microsoft Office installation can check for feature updates.","有効","無効","バッテリ モードで停止, バッテリで開始しない","Users","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","毎日 ","6:10:00","2017/01/01","N/A","1 日ごと","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Feature Updates","2025/07/25 23:50:55","準備完了","対話型/バックグラウンド","2025/07/25 20:41:41","0","Microsoft Office","C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe ","N/A","This task ensures that your Microsoft Office installation can check for feature updates.","有効","無効","バッテリ モードで停止, バッテリで開始しない","Users","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","毎日 ","10:10:00","2017/01/01","N/A","1 日ごと","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Feature Updates","2025/07/26 2:09:20","準備完了","対話型/バックグラウンド","2025/07/25 20:41:41","0","Microsoft Office","C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe ","N/A","This task ensures that your Microsoft Office installation can check for feature updates.","有効","無効","バッテリ モードで停止, バッテリで開始しない","Users","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","毎日 ","14:10:00","2017/01/01","N/A","1 日ごと","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Feature Updates","2025/07/26 0:18:04","準備完了","対話型/バックグラウンド","2025/07/25 20:41:41","0","Microsoft Office","C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe ","N/A","This task ensures that your Microsoft Office installation can check for feature updates.","有効","無効","バッテリ モードで停止, バッテリで開始しない","Users","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","毎日 ","18:10:00","2017/01/01","N/A","1 日ごと","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Feature Updates","2025/07/25 23:00:25","準備完了","対話型/バックグラウンド","2025/07/25 20:41:41","0","Microsoft Office","C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe ","N/A","This task ensures that your Microsoft Office installation can check for feature updates.","有効","無効","バッテリ モードで停止, バッテリで開始しない","Users","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","毎日 ","22:10:00","2017/01/01","N/A","1 日ごと","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Feature Updates Logon","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Office","C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe /onlogon","N/A","This task ensures that your Microsoft Office installation can check for feature updates.","有効","無効","バッテリ モードで停止, バッテリで開始しない","Users","無効","00:30:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Feature Updates Logon","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Office","C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe /onlogon","N/A","This task ensures that your Microsoft Office installation can check for feature updates.","有効","無効","バッテリ モードで停止, バッテリで開始しない","Users","無効","00:30:00","スケジュール データをこの形式で使用することはできません。","イベントが発生する場合","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Office\Office Performance Monitor","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","N/A","C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\operfmon.exe ","N/A","This task ensures that your Microsoft Office installation can be monitored for performance issues.","有効","無効","","SYSTEM","無効","無効","スケジュール データをこの形式で使用することはできません。","イベントが発生する場合","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319","N/A","準備完了","対話型/バックグラウンド","2025/07/25 19:46:03","0","N/A","COM ハンドラー","N/A","N/A","有効","無効","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64","N/A","準備完了","対話型/バックグラウンド","2025/07/25 19:46:03","0","N/A","COM ハンドラー","N/A","N/A","有効","無効","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical","N/A","無効","対話型/バックグラウンド","2025/07/23 21:44:13","0","N/A","COM ハンドラー","N/A","N/A","無効","無効","","SYSTEM","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","アイドル時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical","N/A","無効","対話型/バックグラウンド","2025/07/23 21:42:14","0","N/A","COM ハンドラー","N/A","N/A","無効","無効","","SYSTEM","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","アイドル時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\AccountHealth\RecoverabilityToastTask","N/A","準備完了","対話型/バックグラウンド","2025/07/25 8:09:29","0","Microsoft Corporation","COM ハンドラー","N/A","AccountHealth タスク ハンドラーは Microsoft アカウントの状態を評価し、必要に応じて修復アクションを実行します","有効","無効","バッテリ モードで停止","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","イベントが発生する場合","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","ユーザーの AD RMS 権利ポリシー テンプレートを更新します。このジョブでは、サーバーでテンプレート配布 Web サービスへの認証が失敗した場合でも、資格情報の入力は要求されません。この場合は、エラーなどが発生することなくジョブが失敗します。","無効","無効","","Everyone","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","毎日 ","3:00:00","2006/11/09","N/A","1 日ごと","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","ユーザーの AD RMS 権利ポリシー テンプレートを更新します。このジョブでは、サーバーでテンプレート配布 Web サービスへの認証が失敗した場合でも、資格情報の入力は要求されません。この場合は、エラーなどが発生することなくジョブが失敗します。","無効","無効","","Everyone","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","COM ハンドラー","N/A","ユーザーの AD RMS 権利ポリシー テンプレートを更新します。このジョブでは、サーバーでテンプレート配布 Web サービスへの認証が失敗した場合に、資格情報の入力が要求されます。","有効","無効","バッテリ モードで停止, バッテリで開始しない","Everyone","無効","01:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\AppID\PolicyConverter","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","%windir%\system32\appidpolicyconverter.exe ","N/A","ソフトウェアの制限のポリシーを XML 形式からバイナリ形式に変換します。","無効","無効","","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck","N/A","無効","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","%windir%\system32\appidcertstorecheck.exe ","N/A","AppID 証明書キャッシュに、無効な証明書や失効した証明書がないかどうかを調べます。","無効","3 分アイドルだった場合にのみ開始, 1380 分アイドルでない場合再実行 アイドル状態が終了したらタスクを停止","バッテリ モードで停止, バッテリで開始しない","LOCAL SERVICE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","システムの開始時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Microsoft\Windows\Application Experience\MareBackup","N/A","準備完了","対話型/バックグラウンド","1999/11/30 0:00:00","267011","Microsoft Corporation","複数のアクション","複数のアクション","アプリ バックアップのシナリオのために Win32 アプリケーション データを収集する","有効","無効","バッテリ モードで停止, バッテリで開始しない","SYSTEM","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","要求時のみ","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
